ticker,checks,successful_roundtrips,success_pct,no_buy_route,no_exit_route,max_observed_roundtrip_cost_pct,avg_observed_roundtrip_cost_pct
NVDA,8,8,100,0,0,4.263007104840300577800,1.4484643728975724473333333333333333333333333333334
TSLA,8,8,100,0,0,0.206242345558317465600,0.114371067413168133400
AAPL,4,4,100,0,0,-0.008876442978453273600,-0.008876442978461086400
MSFT,8,8,100,0,0,0.283908595615935155200,0.11715431053313961260000000000000000000000000000000
AMZN,4,4,100,0,0,-0.03156532899737385600,-0.031565328997388064533333333333333333333333333333332
META,8,8,100,0,0,0.022615277169613064533333333333333333333333333333333,0.016118334303920889066666666666666666666666666666666
GOOGL,8,8,100,0,0,0.025611751613511534933333333333333333333333333333333,-0.013340940456138976066666666666666666666666666666666
AMD,8,8,100,0,0,0.187102013588389580800,0.091426826897682881666666666666666666666666666666666
AXTI,8,7,87.500,1,0,0.5191770796611763200,0.30321938036425963497142857142857142857142857142857
CRCL,8,8,100,0,0,0.18796823015220838400,0.12719454030549859453333333333333333333333333333334
RKLB,8,8,100,0,0,0.092190940682742920533333333333333333333333333333333,0.03157105136296169040000000000000000000000000000000
CRWV,8,8,100,0,0,0.17000236693726644053333333333333333333333333333333,0.12609778062927846973333333333333333333333333333334
NBIS,8,8,100,0,0,0.1362248986111325200,0.09140392628625520100000000000000000000000000000000
GLW,8,8,100,0,0,0.328859981784796364800,0.16886577053649527966666666666666666666666666666666
SNDK,8,8,100,0,0,0.05650448184115360200,-0.0003361275247381302875
BABA,8,8,100,0,0,0.320494985760539443200,0.21788333057111278506666666666666666666666666666666
QQQ,8,8,100,0,0,0.007722115783903094500,-0.023358698172607425591666666666666666666666666666666
SKHY,8,8,100,0,0,0.12983919145142408800,0.06038330574976024383750000000000000000000000000000
TSM,8,8,100,0,0,0.057280013203217094400,0.055264380321361391666666666666666666666666666666668
FSOL,4,4,100,0,0,0.57780598532652049600,0.577805985326516472800
AOSL,4,0,0,4,0,,
REMX,4,0,0,4,0,,
ACHR,4,4,100,0,0,0.13130131672052414400,0.13130131672051348613333333333333333333333333333333
CLF,4,4,100,0,0,0.67812964457145596800,0.67812964457145052106666666666666666666666666666668
ITA,4,4,100,0,0,1.38430892332363555200,1.3645778737466604482666666666666666666666666666667
SHY,4,4,100,0,0,-0.090804479050461849600,-0.090804479050467297600
TEL,4,4,100,0,0,3.5146499549993526101333333333333333333333333333333,3.5146499549993462137333333333333333333333333333332
SNOW,4,4,100,0,0,0.14644730881590817600,0.14644730881589348666666666666666666666666666666667
VZ,4,4,100,0,0,0.1205789149125848800,0.12057891491258487706666666666666666666666666666667
LLY,4,4,100,0,0,-0.052024187811798585600,-0.052024187811803322133333333333333333333333333333332
